Timestamp,ImagemComparada,TamanhoDaLista,DuracaoOrdenacao_ns
2025-09-05 17:39:05,cachorro.jpg,15,6800
2025-09-05 17:39:05,ferrari.png,15,4700
2025-09-05 17:39:05,lamborghini.jpg,15,5300
2025-11-27 22:18:04,cachorro.jpg,15,8800
2025-11-27 22:18:04,ferrari.png,15,8200
2025-11-27 22:18:04,lamborghini.jpg,15,8100
2025-11-28 20:48:45,cachorro.jpg,15,20400
2025-11-28 20:48:45,ferrari.png,15,10600
2025-11-28 20:48:45,lamborghini.jpg,15,11500
2025-11-28 23:55:59,cachorro.jpg,15,7600
2025-11-28 23:55:59,ferrari.png,15,6800
2025-11-28 23:55:59,lamborghini.jpg,15,7400
2025-11-28 23:59:12,cachorro.jpg,15,8600
2025-11-28 23:59:12,ferrari.png,15,6500
2025-11-28 23:59:12,lamborghini.jpg,15,7400
2025-11-29 00:16:02,0a1ad1756ba6219eb2359fd3ed2a7082.jpg,2576,2.4803e+06
2025-11-29 00:16:03,cachorro.jpg,2576,2.4012e+06
2025-11-29 00:16:03,ferrari.png,2576,2.5594e+06
2025-11-29 00:16:04,lamborghini.jpg,2576,2.56e+06
2025-11-29 14:22:01,0a1ad1756ba6219eb2359fd3ed2a7082.jpg,2575,2.2625e+06
2025-11-29 14:22:01,cachorro.jpg,2575,2.64e+06
2025-11-29 14:22:02,ferrari.png,2575,2.6178e+06
2025-11-29 14:22:02,ferrari2.png,2575,2.3265e+06
2025-11-29 14:22:02,lamborghini.jpg,2575,2.3069e+06
2025-11-29 14:23:43,0a1ad1756ba6219eb2359fd3ed2a7082.jpg,2575,2.7276e+06
2025-11-29 14:23:43,cachorro.jpg,2575,2.3412e+06
2025-11-29 14:23:43,ferrari.png,2575,3.4008e+06
2025-11-29 14:23:43,ferrari2.png,2575,2.7294e+06
2025-11-29 14:23:43,lamborghini.jpg,2575,2.7869e+06
2025-11-29 14:27:18,0a1ad1756ba6219eb2359fd3ed2a7082.jpg,2575,2.1736e+06
2025-11-29 14:27:18,cachorro.jpg,2575,2.581e+06
2025-11-29 14:27:18,ferrari.png,2575,2.8733e+06
2025-11-29 14:27:18,ferrari2.png,2575,2.3721e+06
2025-11-29 14:27:18,lamborghini.jpg,2575,2.9223e+06
2025-11-29 16:50:54,0a1ad1756ba6219eb2359fd3ed2a7082.jpg,14,7900
2025-11-29 16:50:54,cachorro.jpg,14,9100
2025-11-29 16:50:54,ferrari.png,14,6500
2025-11-29 16:50:54,ferrari2.png,14,7100
2025-11-29 16:50:54,lamborghini.jpg,14,7500
